location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,ipc_phase,ipc_type,population_in_phase,population_fraction_in_phase,reference_period_start,reference_period_end
#country+code,#meta+has_hrp,#meta+in_gho,#adm1+name+provider,#adm2+name+provider,#adm1+code,#adm1+name,#adm2+code,#adm2+name,#adm+level,#severity+v_ipc,#period+v_ipc,#affected+num,#affected+pct,#date+start,#date+end
PSE,False,True,,Khan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,1,first projection,0,0.0,2025-08-01,2025-09-30
PSE,False,True,,Khan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,2,first projection,0,0.0,2025-08-01,2025-09-30
PSE,False,True,,Khan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,3,first projection,55930,0.1,2025-08-01,2025-09-30
PSE,False,True,,Khan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,4,first projection,335580,0.6,2025-08-01,2025-09-30
PSE,False,True,,Khan Younis,PS02,Gaza Strip,PS0270,Khan Younis,2,5,first projection,167790,0.3,2025-08-01,2025-09-30
PSE,False,True,,Deir al-balah,PS02,Gaza Strip,PS0265,Deir Al-Balah,2,all,current,400000,1.0,2025-04-01,2025-05-31
PSE,False,True,,Deir al-balah,PS02,Gaza Strip,PS0265,Deir Al-Balah,2,3+,current,360000,0.9,2025-04-01,2025-05-31
PSE,False,True,,Deir al-balah,PS02,Gaza Strip,PS0265,Deir Al-Balah,2,1,current,0,0.0,2025-04-01,2025-05-31
PSE,False,True,,Deir al-balah,PS02,Gaza Strip,PS0265,Deir Al-Balah,2,2,current,40000,0.1,2025-04-01,2025-05-31
PSE,False,True,,Deir al-balah,PS02,Gaza Strip,PS0265,Deir Al-Balah,2,3,current,180000,0.45,2025-04-01,2025-05-31
PSE,False,True,,Deir al-balah,PS02,Gaza Strip,PS0265,Deir Al-Balah,2,4,current,160000,0.4,2025-04-01,2025-05-31
PSE,False,True,,Deir al-balah,PS02,Gaza Strip,PS0265,Deir Al-Balah,2,5,current,20000,0.05,2025-04-01,2025-05-31
PSE,False,True,,Deir al-balah,PS02,Gaza Strip,PS0265,Deir Al-Balah,2,all,first projection,400000,1.0,2025-05-01,2025-09-30
PSE,False,True,,Deir al-balah,PS02,Gaza Strip,PS0265,Deir Al-Balah,2,3+,first projection,400000,1.0,2025-05-01,2025-09-30
PSE,False,True,,Deir al-balah,PS02,Gaza Strip,PS0265,Deir Al-Balah,2,1,first projection,0,0.0,2025-05-01,2025-09-30
PSE,False,True,,Deir al-balah,PS02,Gaza Strip,PS0265,Deir Al-Balah,2,2,first projection,0,0.0,2025-05-01,2025-09-30
PSE,False,True,,Deir al-balah,PS02,Gaza Strip,PS0265,Deir Al-Balah,2,3,first projection,120000,0.3,2025-05-01,2025-09-30
PSE,False,True,,Deir al-balah,PS02,Gaza Strip,PS0265,Deir Al-Balah,2,4,first projection,220000,0.55,2025-05-01,2025-09-30
PSE,False,True,,Deir al-balah,PS02,Gaza Strip,PS0265,Deir Al-Balah,2,5,first projection,60000,0.15,2025-05-01,2025-09-30
PSE,False,True,,Gaza,PS02,Gaza Strip,PS0260,Gaza,2,all,current,740000,1.0,2025-04-01,2025-05-31
PSE,False,True,,Gaza,PS02,Gaza Strip,PS0260,Gaza,2,3+,current,703000,0.95,2025-04-01,2025-05-31
PSE,False,True,,Gaza,PS02,Gaza Strip,PS0260,Gaza,2,1,current,0,0.0,2025-04-01,2025-05-31
PSE,False,True,,Gaza,PS02,Gaza Strip,PS0260,Gaza,2,2,current,37000,0.05,2025-04-01,2025-05-31
PSE,False,True,,Gaza,PS02,Gaza Strip,PS0260,Gaza,2,3,current,259000,0.35,2025-04-01,2025-05-31
PSE,False,True,,Gaza,PS02,Gaza Strip,PS0260,Gaza,2,4,current,333000,0.45,2025-04-01,2025-05-31
PSE,False,True,,Gaza,PS02,Gaza Strip,PS0260,Gaza,2,5,current,111000,0.15,2025-04-01,2025-05-31
PSE,False,True,,Gaza,PS02,Gaza Strip,PS0260,Gaza,2,all,first projection,740000,1.0,2025-05-01,2025-09-30
PSE,False,True,,Gaza,PS02,Gaza Strip,PS0260,Gaza,2,3+,first projection,740000,1.0,2025-05-01,2025-09-30
PSE,False,True,,Gaza,PS02,Gaza Strip,PS0260,Gaza,2,1,first projection,0,0.0,2025-05-01,2025-09-30
PSE,False,True,,Gaza,PS02,Gaza Strip,PS0260,Gaza,2,2,first projection,0,0.0,2025-05-01,2025-09-30
PSE,False,True,,Gaza,PS02,Gaza Strip,PS0260,Gaza,2,3,first projection,185000,0.25,2025-05-01,2025-09-30
PSE,False,True,,Gaza,PS02,Gaza Strip,PS0260,Gaza,2,4,first projection,370000,0.5,2025-05-01,2025-09-30
PSE,False,True,,Gaza,PS02,Gaza Strip,PS0260,Gaza,2,5,first projection,185000,0.25,2025-05-01,2025-09-30
PSE,False,True,,Khan younis,PS02,Gaza Strip,PS0270,Khan Younis,2,all,current,620000,1.0,2025-04-01,2025-05-31
PSE,False,True,,Khan younis,PS02,Gaza Strip,PS0270,Khan Younis,2,3+,current,558000,0.9,2025-04-01,2025-05-31
PSE,False,True,,Khan younis,PS02,Gaza Strip,PS0270,Khan Younis,2,1,current,0,0.0,2025-04-01,2025-05-31
PSE,False,True,,Khan younis,PS02,Gaza Strip,PS0270,Khan Younis,2,2,current,62000,0.1,2025-04-01,2025-05-31
PSE,False,True,,Khan younis,PS02,Gaza Strip,PS0270,Khan Younis,2,3,current,217000,0.35,2025-04-01,2025-05-31
PSE,False,True,,Khan younis,PS02,Gaza Strip,PS0270,Khan Younis,2,4,current,279000,0.45,2025-04-01,2025-05-31
PSE,False,True,,Khan younis,PS02,Gaza Strip,PS0270,Khan Younis,2,5,current,62000,0.1,2025-04-01,2025-05-31
PSE,False,True,,Khan younis,PS02,Gaza Strip,PS0270,Khan Younis,2,all,first projection,620000,1.0,2025-05-01,2025-09-30
PSE,False,True,,Khan younis,PS02,Gaza Strip,PS0270,Khan Younis,2,3+,first projection,620000,1.0,2025-05-01,2025-09-30
PSE,False,True,,Khan younis,PS02,Gaza Strip,PS0270,Khan Younis,2,1,first projection,0,0.0,2025-05-01,2025-09-30
PSE,False,True,,Khan younis,PS02,Gaza Strip,PS0270,Khan Younis,2,2,first projection,0,0.0,2025-05-01,2025-09-30
PSE,False,True,,Khan younis,PS02,Gaza Strip,PS0270,Khan Younis,2,3,first projection,155000,0.25,2025-05-01,2025-09-30
PSE,False,True,,Khan younis,PS02,Gaza Strip,PS0270,Khan Younis,2,4,first projection,341000,0.55,2025-05-01,2025-09-30
PSE,False,True,,Khan younis,PS02,Gaza Strip,PS0270,Khan Younis,2,5,first projection,124000,0.2,2025-05-01,2025-09-30
PSE,False,True,,North gaza,PS02,Gaza Strip,PS0255,North Gaza,2,all,current,310000,1.0,2025-04-01,2025-05-31
PSE,False,True,,North gaza,PS02,Gaza Strip,PS0255,North Gaza,2,3+,current,294500,0.95,2025-04-01,2025-05-31
PSE,False,True,,North gaza,PS02,Gaza Strip,PS0255,North Gaza,2,1,current,0,0.0,2025-04-01,2025-05-31
PSE,False,True,,North gaza,PS02,Gaza Strip,PS0255,North Gaza,2,2,current,15500,0.05,2025-04-01,2025-05-31
PSE,False,True,,North gaza,PS02,Gaza Strip,PS0255,North Gaza,2,3,current,108500,0.35,2025-04-01,2025-05-31
PSE,False,True,,North gaza,PS02,Gaza Strip,PS0255,North Gaza,2,4,current,139500,0.45,2025-04-01,2025-05-31
PSE,False,True,,North gaza,PS02,Gaza Strip,PS0255,North Gaza,2,5,current,46500,0.15,2025-04-01,2025-05-31
PSE,False,True,,North gaza,PS02,Gaza Strip,PS0255,North Gaza,2,all,first projection,310000,1.0,2025-05-01,2025-09-30
PSE,False,True,,North gaza,PS02,Gaza Strip,PS0255,North Gaza,2,3+,first projection,310000,1.0,2025-05-01,2025-09-30
PSE,False,True,,North gaza,PS02,Gaza Strip,PS0255,North Gaza,2,1,first projection,0,0.0,2025-05-01,2025-09-30
PSE,False,True,,North gaza,PS02,Gaza Strip,PS0255,North Gaza,2,2,first projection,0,0.0,2025-05-01,2025-09-30
